category,position,label,title,rating,reviews_count,price
Correas para Mascotas,5,5º MÁS VENDIDO,Correa Para Perros Resistente Con Refelctivos 150 Cm,4.5,2,24.000
Correas para Mascotas,6,6º MÁS VENDIDO,"Correa Retractil Para Perros Y Mascotas, Mediana 5mts",4.8,16,19.900
Correas para Mascotas,7,7º MÁS VENDIDO,"Guía Retráctil De 5 M Para Perros Y Cachorros De Tamaño Pequeño Y Mediano, Color Azul",4.1,17,25.200
Correas para Mascotas,8,8º MÁS VENDIDO,"Correa Para Perro 5 Metros, Correa De Mascotas Larga, Straps",4.3,69,15.900
Correas para Mascotas,9,9º MÁS VENDIDO,Correa Retractil P/ Perros Kong Large Terrain 5mt 50kg Paseo Color Negro/gris,5.0,5,169.000
Correas para Mascotas,10,10º MÁS VENDIDO,"Jopoy Correa Para Perro Manos Libres De 9.8 Pies, Correa Cru",,,65.932
Correas para Mascotas,11,11º MÁS VENDIDO,Correa Manos Libres Con Canguro Para Correr Perro Mascota,,,89.000
Correas para Mascotas,12,12º MÁS VENDIDO,5m Mascota Correa Correa Retractil Perro Correa Para Gato,2.8,11,35.900
Correas para Mascotas,13,13º MÁS VENDIDO,"Joytale Larga Correa De Entrenamiento Del Perro, 15 Ft...",,,109.394
Correas para Mascotas,14,14º MÁS VENDIDO,Gancho Con Correa Larga Paseador Para Perros Medianos,4.1,9,14.900
Correas para Mascotas,15,15º MÁS VENDIDO,Correa Retráctil Mascotas Perros Lazo Collar Halti Arnes,4.8,5,23.200
Correas para Mascotas,16,16º MÁS VENDIDO,"Correa Para Perros S-etovus, Cadena De Metal A Prueba De Mas",,,163.713
Correas para Mascotas,17,17º MÁS VENDIDO,"Correa De Perro Con Manos Libres, Correa De Cintura Ajust...",,,130.131
Correas para Mascotas,18,18º MÁS VENDIDO,"Correa De Perro De Cuero De 6 Pies, Correa De Perro De Al...",,,148.391
Correas para Mascotas,19,19º MÁS VENDIDO,"Correa De Perro Manos Libres Con Cinturón Ajustable, Portá.",,,31.105
Correas para Mascotas,20,20º MÁS VENDIDO,Correa Paseadora De Perros Para Correr Trotar Manos Libres,4.6,8,29.900
Gatos,1,1º MÁS VENDIDO,Maíz Cat X20kg - Arena Ecológica Para Gatos - Inhibe Olores,4.8,2320,101.462
Gatos,2,2º MÁS VENDIDO,Alimento Br For Cat Castrados Para Gato Adulto Sabor Mix De 3 Kg,4.9,1686,76.400
Gatos,3,3º MÁS VENDIDO,Fuente De Agua Para Mascotas Gatos Silencioso Automatico Color Transparente Oscuro,4.6,930,60.001
Gatos,4,4º MÁS VENDIDO,Arena Calabaza Pet Aroma A Café 25 Kilos,4.7,285,80.000
Gatos,5,5º MÁS VENDIDO,Alimento Taste Of The Wild Rocky Mountain Feline Para Gato Sabor Venado Asado Y Salmón Ahumado De 6.3 Kg,4.9,1229,226.000
Gatos,6,6º MÁS VENDIDO,Alimento Chunky Para Perro Adulto Todos Los Tamaños Sabor Pollo De 25 Kg,4.9,665,199.000
Gatos,7,7º MÁS VENDIDO,Alimento Hill's Prescription Diet Urinary Care C/d Para Gato Adulto Sabor Pollo En Bolsa De 1.8kg,4.9,951,148.000
Gatos,8,8º MÁS VENDIDO,Alimento Excellent Urinary Para Gato Adulto 3 Kg,4.9,432,66.920
Gatos,9,9º MÁS VENDIDO,Alimento Hill's Prescription Diet Kidney Care Feline K/d Para Gato Adulto Sabor Pollo De 1.814 Kg,4.9,729,148.900
Gatos,10,10º MÁS VENDIDO,Monello Premium Especial Alimento Sabor Salmon Y Pollo 7kg,4.9,1259,132.260
Gatos,11,11º MÁS VENDIDO,Msd Bravecto Proteção Pulgas Carrapatos Comprimido Mastigável Perro - Marrón Claro - 1 - 20 Kg - 40 Kg - 1 - Unidad - 1,4.8,648,90.526
Gatos,12,12º MÁS VENDIDO,Pro Plan Cat Urinary 1kg,4.9,598,93.500
Gatos,13,13º MÁS VENDIDO,Agility Gold Gatos 7kg,4.8,759,159.806
Gatos,14,14º MÁS VENDIDO,Agility Gold Grandes Adultos 15 Kg,4.9,262,277.700
Gatos,15,15º MÁS VENDIDO,Fuente De Agua Para Gatos Perros Bebedero Para Mascotas Color Blanco,4.6,537,37.808
Gatos,16,16º MÁS VENDIDO,Alimento Diamond Naturals Indoor Cat Para Gato Adulto De Raza Todas Las Razas Sabor Pollo Y Arroz De 8.16 Kg,4.9,606,293.374
Gatos,17,17º MÁS VENDIDO,Alimento Monello Premium Especial Tradicional Para Perros Adulto Sabor Mix De 25 Kg,4.9,772,283.900
Gatos,18,18º MÁS VENDIDO,Alimento Excellent Adult Para Gato Adulto Sabor Pollo/carne/arroz De 7.5 Kg,4.9,563,125.407
Gatos,19,19º MÁS VENDIDO,Max Adulto Raza Pequeña 8kg - kg a $14559,4.9,395,145.573
Gatos,20,20º MÁS VENDIDO,Alimento Taste Of The Wild Pacific Stream Canine Para Perro Adulto Todos Los Tamaños Sabor Salmón De 12.701 Kg,4.9,469,362.000
Jaulas para Mascotas,1,1º MÁS VENDIDO,Trampa De Jaula Viva Plegable Y Humana Animales Vivos,,,270.900
Jaulas para Mascotas,2,2º MÁS VENDIDO,"Perchero Para Pájaros De Madera Natural, 4 Unidades, Para Co",,,68.130
Jaulas para Mascotas,3,3º MÁS VENDIDO,Jaula Para Pájaros Portátil Jaula Para Loros Jaulas De Pájar,,,71.362
Jaulas para Mascotas,4,4º MÁS VENDIDO,Jaula Grande Para Hámster Jaula Para Chinchilla Estuche De V,,,41.977
Jaulas para Mascotas,5,5º MÁS VENDIDO,"Bolsa Para Mascotas Tedoora, Material Eva, Tamaño Grande",,,47.477
Jaulas para Mascotas,6,6º MÁS VENDIDO,", Jaula Para Hámster, Hábitat Para Hámster, Jaula Naranja",,,107.631
Peces,1,1º MÁS VENDIDO,"Tetra Tetracolor Granulos Tropicales X 375gr Alimento Balanceado Para Peces Acuario, Discos Y Ciclidos. Colores Vibrantes Con Antioxidantes Y Prebióticos. Agua Limpia, Proteína Pescado Y Camarón 47.5%",4.9,680,67.000
Peces,2,2º MÁS VENDIDO,Mini Bomba Agua Para Pequeña Fuente Proyecto Bebedero Gato 110v,4.4,97,34.900
Peces,3,3º MÁS VENDIDO,Cabeza De Poder (filtro Para Acuario) Sumergible 1.200 L/h,5.0,39,78.124
Peces,4,4º MÁS VENDIDO,Limpiador Aspiradora Sustrato Sifón Acuario Pecera 210 Cms 0v,4.8,103,23.124
Peces,5,5º MÁS VENDIDO,Prime Stability Seachem Combo,5.0,45,77.874
Peces,6,6º MÁS VENDIDO,Calentador Automático 25 Watios Acuario Pequeño 110v - 120v,4.6,41,17.200
Peces,7,7º MÁS VENDIDO,Comida Tetra Color Pez 375gr X2 - G - g a $75,4.9,79,154.999
Peces,8,8º MÁS VENDIDO,Filtro Acuario Cabeza De Poder Ipf-260 Blanco 400 L/h Jeneca,4.6,7,13.900
Peces,9,9º MÁS VENDIDO,Motor De Una Salida Acuario Bomba Aire Oxigenador Pecera Jeneca Ap-1688,4.6,18,12.900
Peces,10,10º MÁS VENDIDO,Alimento En Palos Tetra Pond Koi Vibrance Para Peces De Lagos Estanques Y Fuentes Como Carpas Koi Y Goldfish En Bolsa De 1.43lb,4.8,31,136.900
Peces,11,11º MÁS VENDIDO,Prime Seachem Anticloro Acondicionador Agua Acuario 100ml,4.9,50,27.475
Peces,12,12º MÁS VENDIDO,Omega One Betta Buffet Pellets Floating 28g Alimento Para Peces,4.9,54,18.624
Peces,13,13º MÁS VENDIDO,Resun Hf-2002 Filtro Externo De Cascada 570 Litros/hora Filtracion Biologica Y Mecánica Acuarios De 40 A 230 Litros 6w,4.7,107,77.695
Peces,14,14º MÁS VENDIDO,Tetra Jungle Tropical Flakes 500g Alimento Balanceado En Hojuelas Para Peces Activos A Base De Harina De Pescado Colores Vibrantes Con Suplementos Y Proteina 46%,4.9,48,60.874
Peces,15,15º MÁS VENDIDO,Carbon Activado Granulado Activo Filtro Acuario Pecera 1 Kg,4.4,21,19.883
Peces,16,16º MÁS VENDIDO,Tetra Rubin Granules 100g Alimento Completo Para Peces Tropicales En Granulos Pequeños De Lento Hundimiento Con Vitaminas Y Potenciadores De Color Formula Bioactive Sistema Inmune Con 47% Proteina,4.7,24,42.900
Peces,17,17º MÁS VENDIDO,Tubifex Worms 24g Alimento Peces Acuario,4.8,67,23.190
Peces,18,18º MÁS VENDIDO,Mini Bomba Acuario 220l/h Bebedero Gato Perro Pf-228 Jeneca,4.5,54,43.800
Peces,19,19º MÁS VENDIDO,"Medio Biológico Seachem Matrix, 500 Ml, A Granel",4.9,63,38.989
Peces,20,20º MÁS VENDIDO,Bomba De Agua Para Filtro / Sump (1200 L/hr - 1.2 Mts),4.6,28,59.900
Perros,1,1º MÁS VENDIDO,Alimento Br For Cat Castrados Para Gato Adulto Sabor Mix De 1 Kg,4.9,1686,25.200
Perros,2,2º MÁS VENDIDO,Alimento Taste Of The Wild Rocky Mountain Feline Para Gato Sabor Venado Asado Y Salmón Ahumado De 2.2 Kg,4.9,1229,91.112
Perros,3,3º MÁS VENDIDO,Alimento Chunky Para Perro Adulto Todos Los Tamaños Sabor Pollo De 9 Kg,4.9,665,76.200
Perros,4,4º MÁS VENDIDO,Alimento Hill's Prescription Diet Urinary Care C/d Para Gato Adulto Sabor Pollo En Bolsa De 1.8kg,4.9,951,148.000
Perros,5,5º MÁS VENDIDO,Max Cat Alimento Professional Line Para Gato Adulto Sabor Pollo Y Arroz En Bolsa De 10kg,4.9,730,183.500
Perros,6,6º MÁS VENDIDO,Alimento Excellent Urinary Para Gatos Para Gato Adulto Todos Los Tamaños Sabor Pollo Y Arroz De 1 Kg,4.9,432,33.330
Perros,7,7º MÁS VENDIDO,Alimento Hill's Prescription Diet Kid - kg a $52725,4.9,729,154.000
Perros,8,8º MÁS VENDIDO,Monello Premium Especial Alimento Sabor Salmon Y Pollo 7kg,4.9,1259,132.260
Perros,9,9º MÁS VENDIDO,Pro Plan Cat Urinary 3kg Nal,4.9,598,156.900
Perros,10,10º MÁS VENDIDO,Agility Gold Gatos 7kg,4.8,759,159.806
Perros,11,11º MÁS VENDIDO,Alimento Nutra-nuggets Global Maintenance Para Perro Adulto Todos Los Tamaños Sabor Pollo De 7.5 Kg,4.9,495,122.236
Perros,12,12º MÁS VENDIDO,Alimento Diamond Naturals Adult Dog Para Perro Adulto Todos Los Tamaños Sabor Cordero Y Arroz De 18.14 Kg,4.8,591,299.000
Perros,13,13º MÁS VENDIDO,Agility Gold Grandes Adultos 3 Kg,4.9,262,62.182
Perros,14,14º MÁS VENDIDO,Alimento Diamond Naturals Indoor Cat Para Gato Adulto De Raza Todas Las Razas Sabor Pollo Y Arroz De 8.16 Kg,4.9,606,293.374
Perros,15,15º MÁS VENDIDO,Alimento Monello Premium Especial Tradicional Para Perro Adulto Sabor Mix De 15 Kg,4.9,772,211.765
Perros,16,16º MÁS VENDIDO,Alimento Excellent Adult Para Gato Adulto Sabor Pollo/carne/arroz De 7.5 Kg,4.9,563,125.407
Perros,17,17º MÁS VENDIDO,Max Adulto Raza Pequeña 8kg - kg a $14559,4.9,395,145.573
Perros,18,18º MÁS VENDIDO,Agility Gold Piel Pequeños Adultos 8kg,4.9,441,162.369
Perros,19,19º MÁS VENDIDO,Alimento Taste Of The Wild Canyon River Feline Para Gato Adulto Sabor Trucha Y Salmón Ahumado De 156 G,4.9,505,13.600
Perros,20,,Agilit Grandes Adultos Piel 8kg,4.9,260,160.370
Reptiles y Anfibios,1,1º MÁS VENDIDO,Lampara De Calor Para Reptil Luz Uva Uvb,4.7,18,78.887
Reptiles y Anfibios,2,2º MÁS VENDIDO,Lámparas De Calor Para Tortuga Reptiles 2 Bombillas Uva+uvb,,,77.155
Reptiles y Anfibios,3,3º MÁS VENDIDO,"Lámparas De Calefacción Cuarzo Infrarrojo Ave,cerdo,animal",,,16.203
Reptiles y Anfibios,4,4º MÁS VENDIDO,Hs Lámpara Infrarroja Con Bombilla De Calor P/aves De Corral,,,16.077
Reptiles y Anfibios,5,5º MÁS VENDIDO,Calentador De Lámpara De Calor Para Lechones,,,46.175
Reptiles y Anfibios,6,6º MÁS VENDIDO,3 Bombillas Calefactoras Para Aves De Corral De 200 W Para M,,,37.402
Reptiles y Anfibios,7,7º MÁS VENDIDO,Lámpara Infrarroja Impermeable Para Lechones,,,18.638
Reptiles y Anfibios,8,8º MÁS VENDIDO,- Emisor De Calor Infrarrojo De Cerámica Reptil De 50 W For,,,28.419
Reptiles y Anfibios,9,9º MÁS VENDIDO,Almohadilla Térmica Para Terrarios Con Forma De Reptil De 11,,,29.300
Reptiles y Anfibios,10,10º MÁS VENDIDO,Lámpara De Calor De Cerámica Lámpara De Calentamiento De Rep,,,20.527
Reptiles y Anfibios,11,11º MÁS VENDIDO,Lámpara De Calor Cerámica Infrarroja De 100w Para Rept,4.0,1,17.966
Reptiles y Anfibios,12,12º MÁS VENDIDO,Lámpara Infrarroja Con Bombilla De Calor Para Reptiles,,,16.203
Roedores,1,1º MÁS VENDIDO,Galletas Snack Conejos Br 100 G,5.0,21,6.200
Roedores,2,2º MÁS VENDIDO,Vitagrano Comida Hamster Y Conejillos De Indias X 250 Gr,4.9,12,8.300
Roedores,3,3º MÁS VENDIDO,Shampoo Ketoclean 250ml,4.8,20,52.500
Roedores,4,4º MÁS VENDIDO,"Heno Pangola 2kg Para Conejos, Cobayos, Hamster",4.8,150,31.900
Roedores,5,5º MÁS VENDIDO,Concentrado Premium Conejo Cobayo 6kl,4.7,13,59.999
Roedores,6,6º MÁS VENDIDO,"Concentrado, Alfalfa, Heno, Galletas Conejos Cobayos Hamster",4.9,177,44.220
Roedores,7,7º MÁS VENDIDO,"Arena Sanitaria Hámster, Conejo, Cobayo- Kg A",5.0,9,7.216
Roedores,8,8º MÁS VENDIDO,Sustrato Para Conejo/cuyo Super Absorbente Natural 49.2 Lts,4.7,7,98.000
Roedores,9,9º MÁS VENDIDO,Shampoo Hydra Odor Neutralizing X 1000 Ml,4.9,21,113.000
Roedores,10,10º MÁS VENDIDO,Oxbow Animal Health Essentials Alimento Para Hurones 4,,,243.990
Roedores,11,11º MÁS VENDIDO,Alfalfa En Cubos Para Conejos Cobas Y Otros Kaytee 425g,,,61.500
Roedores,12,12º MÁS VENDIDO,Shampoo Canamor Arbol De Te Felino 230ml,4.0,2,22.200
Roedores,13,13º MÁS VENDIDO,Heno De Avena Oxbow Para Pequeñas Mascotas - 15 Oz,,,76.990
Roedores,14,14º MÁS VENDIDO,Alimento Premium Para Conejo Kaytee Supreme (2.2 Kg),5.0,2,157.990
Roedores,15,15º MÁS VENDIDO,Alimento Seco Para Hurones Wysong Ferret Epigen 90 Digestive,,,291.000
Roedores,16,16º MÁS VENDIDO,Para T13 Figura De Acción Impresa En 3d Con Múltiples /,4.2,9,18.554
Roedores,17,17º MÁS VENDIDO,Heno De Timothy Natural Para Conejillos De Indias Y Conejos,,,169.990
Roedores,18,18º MÁS VENDIDO,W T13 Figura De Acción Impresa En 3d Con Múltiples Robot,,,15.489
Roedores,19,19º MÁS VENDIDO,Bebederos Automáticos Para Roedores De 20 Piezas,5.0,1,24.850
Roedores,20,20º MÁS VENDIDO,Warmie- T13 Figura De Acción Impresa En 3d Con Múltiples,,,59.230
