title,price,discount,sold,rating,category,marketplace
"ropa de mascotas: luz de chaleco para perros y gatos, transpirable, cómodo, simple, generoso, fresco y lindo, adecuado para todas las estaciones",10409.92,64,193,4.4,Gatos,AliExpress
3 en 1 purifier de agua silenciosa purifier de bomba interna filtro de acuario sumergible oxígeno purificador de agua sumergible,42081.69,59,66,4.7,Peces,AliExpress
césped de hierba artificial pee pee pet mata de cabeta peta comentración prasatina para limpiar la alfombrilla de césped con agujeros de drenaje mascota en interiores al aire libre,49221.74,60,53,4.5,Perros,AliExpress
matina de perro de llegada a través de la banel,55391.64,60,273,4.1,Perros,AliExpress
bomba de agua de fabricante de olas de onda de wavemaker para el acuario pescado de pescado bomba aeróbica de circulación de agua bomba de flujo de surf 220-240v,46346.79,61,146,4.3,Peces,AliExpress
denim dog dress harness puppy ropa de verano para pequeños perros medianos chihuahua bulldog francés caminando correa de pecho con anillo d,27010.33,58,17,4.0,Perros,AliExpress
lindo gato de gato refinado elástico otoño invierno gatito gatitos gatitos de tejido tejido,7824.83,51,500,5.0,Gatos,AliExpress
suministros para mascotas tazón de acero inoxidable tazón de diamante bowl cat food food bowl utensilios de alimentos para perros anti slip tazón para perros volcador,25938.2,62,108,4.8,Perros,AliExpress
ornamento de peces ornamento simulado de arrecifes de coral de la isla de resina de resina decoración del acuario de montaña del hogar decoración de antecedentes,37035.74,61,65,4.8,Peces,AliExpress
"bolsa de malla de malla portátil mochila para perros transpirable bolso de perro de gran capacidad plegable, mochila para perros de gran capacidad transpirable al aire libre",72168.1,60,84,4.8,Perros,AliExpress
bomba de aireación de jebo aquario gran acuario aquacultura de peces aquacultura bomba de oxígeno bomba de oxígeno silent fish pond airator,250586.52,58,39,4.0,Peces,AliExpress
"papel de almohadilla de jaula de pájaros desechable de 100 piezas, tela absorbente no tejida, papel de almohadilla de jaula de loros, chasis, almohadilla de limpieza de estiércol de pájaros",42933.53,60,108,3.8,Jaulas para Mascotas,AliExpress
moda dog dot dot pet ropa de perro summer suprender falda de cachorros chihuahua yorkie bichon clothing girl disfraz de perros cat vestidos,26856.53,63,135,5.0,Perros,AliExpress
caja de arena para gato kitty sandbox suministros de lámina de gato suministro de gato suministros de limpieza de baños,62330.56,61,1,4.2,Gatos,AliExpress
alimentadores automáticos para perros botella de agua de plástico tazón para el tazón de gato que alimenta y bebe agua dispensador de agua para alimentar a las mascotas suministros para mascotas,51954.71,58,600,4.3,Perros,AliExpress
sombrero de hélice de mascotas colorido desmontable adorable a prueba de sol respirable suministros de tapa decorativa de verano al aire libre,14579.97,47,164,4.5,Perros,AliExpress
mat de enfriamiento de mascotas gato gato almohadilla para dormir helado fresco seda de seda humedad colchón a prueba de colchón de verano cama pequeña cama fría 5 tamaños,63479.6,57,119,4.7,Gatos,AliExpress
camiseta de perros de verano ropa delgada para perros para perros pequeños de perros medianos ropa de cachorro transpirable chihuahua ropa accesorios para perros,19815.63,62,102,3.6,Perros,AliExpress
estera de perros enfriando almohadilla de verano para perros manta de gato sofá cama para perros transpirable cama para perros lavable para pequeños medianos grandes perros grandes automóvil,24678.19,60,28,5.0,Perros,AliExpress
color transparente gafas de perros de mascota impermeables con protector solar a prueba de viento gafas para perros grandes resistentes,35207.84,61,126,4.8,Perros,AliExpress
chaleco para perro de verano lindo estampado de dibujos animados transpirables camiseta delgada para pequeña moda de perro mediano,13486.0,63,121,4.9,Perros,AliExpress
ropa para perros de verano para perros pequeños delgados chaleco de perros delgada ropa de cachorro,17496.73,64,500,4.7,Perros,AliExpress
gafas para perros para gafas de sol de perros de raza pequeña gafas de sol ultraves,35639.68,60,23,4.0,Aves,AliExpress
sombrero de perro hombo de protección solar gorra de béisbol con sombrero de deportes al aire libre con orejas para mascotas ajustables para perros pequeños y medianos perros grandes,19537.59,64,800,4.6,Perros,AliExpress
"summer pet cat hat ajustable, transpirable, de moda cat and dog protection sun decoration suministros de diseño de la fiesta",15402.63,63,64,5.0,Perros,AliExpress
zapatos para perros ositos de peluche zapatos de suela suave para perros pequeños cachorro anti -drop zapatos transpirables de 4 zapatos de mascotas de verano,30629.22,62,79,4.7,Perros,AliExpress
camisas de perros para perros de mascotas de estilo hawaiano para perros medianos pequeños ropa de gato cachorro ropa perro pug bulldog francés,12462.61,64,131,4.3,Perros,AliExpress
ropa para perros enfriando verano lindo divertidos xs xxl trajes de mascotas para pequeños bulldog franceses franceses terrier chihuahua yorkie pug gato abrigo,19030.25,55,73,4.9,Perros,AliExpress
dog princess dress linda mascota dog mesh mesh gatito cabeza de mascota vestido de verano papaje coreano poodle chihuahua ropa de perro,13173.9,40,281,4.7,Perros,AliExpress
zapatos para perros de verano transpirables sandalias de mascotas no deslizantes para perros pequeños gatos gatos reflectantes calzado cachorro caminando chihuahua botas 4pcs/set,49937.52,0,31,5.0,Gatos,AliExpress
vestido para perros de mascota estampado de fresa 2025 ropa de perro lindo reino de verano,10303.44,75,150,4.8,Perros,AliExpress
"vestido de perro de mezclilla de mezclilla, ropa de mascotas de verano, falda de boda, primavera",8552.44,43,98,5.0,Perros,AliExpress
summer al aire libre pet pet rain aumin,4195.98,50,37,5.0,Perros,AliExpress
summer cat bed woven tapicería extraíble casa para dormir cat scratch piso rattan ratán resistente a gato suministros para mascotas 35,121444.49,58,121,4.4,Gatos,AliExpress
atuban gafas de perros anti uv fuerte resistencia de impacto elástico ajustable cubro de raza grande gafas de perros gafas de sol transpirables gafas de sol,56775.88,60,310,4.8,Perros,AliExpress
madden summer cooling pet gat cushion almohadilla de hielo matina cuadrada para dormir para perros puppy cats pet kennel de calidad fría fría fría,132109.73,0,190,4.2,Perros,AliExpress
linda ropa de gato summer sphinx camiseta de fondo a rayas gatineros vest para sphynx cat ropa de mascota transpirable dovenrex disfraz,25299.32,64,36,5.0,Gatos,AliExpress
chaqueta salvavidas de perro tiburón aleta cachorro chaleco salvavidas chaqueta de seguridad para natación de perros con mango chaleco para perros,21732.25,8,47,5.0,Perros,AliExpress
pet dog jumpsuits bear chaleco de la primavera de verano para el teddy french bulldog comfort custume de cachorros transpirables,12728.81,14,82,4.5,Perros,AliExpress
vemigo cat cat puppy vest classas classels camiseta sin mangas para perros pequeños,6145.63,49,89,4.9,Perros,AliExpress
co2 co2 co2 disparación de glante de vidrio para co2 comparación del monitor de vador ph probador de monitor indicadores a largo plazo,15438.13,64,127,4.8,Peces,AliExpress
100 ml de perro gato gato anti pulgas de insecto insectcide holones de piojos seguros para el hogar y los perros de los gatos evitan garrapatas,26239.89,62,447,4.6,Gatos,AliExpress
lindo peluche duck sound juguete relleno chillido chillido perra juguete limpieza dental duana mastura juguetes de cuerda accesorios para perros pet,5548.77,45,282,4.6,Perros,AliExpress
masajeador de artículos más vendidos para gatos pp material pets bets brother retire el peinador de cabello table de preparación dogs care royal,14148.54,65,3000,4.7,Gatos,AliExpress
"neence toallitas para los dedos de los oídos para perros y gatos, toallitas limpiadoras de oídos para perros, toallitas desodorizantes para el cuidado de los oídos para gatos y perros, elimina",47960.0,0,300,4.6,Gatos,Amazon
"dispositivos de disuasión de ladridos para perros propios o vecinos, ultrasónico, para entrenamiento de perros seguro y eficaz, antiladridos, portátil, uso en interiores y exteriores, naranja",119960.0,0,40000,4.5,Perros,Amazon
"veken fuente de agua de acero inoxidable para gatos, regalos para papá, fuente automática para mascotas de 95 onzas / 2.8 l con 3 filtros de repuesto y 3 esponjas de prefiltro y alfombrilla de",131960.0,0,20000,4.3,Gatos,Amazon
"pet md toallitas para los dedos de los oídos para perros, cobertura extra y diseño grande, con eucalipto y aloe vera para perros, toallitas de limpieza de oídos para mascotas y limpiador de oídos para",75960.0,0,8000,4.6,Perros,Amazon
"polvo de limpieza de dientes de perro, polvo dental para perros y gatos, placa de limpieza de dientes de mascotas, removedor de sarro y mal aliento para perros, limpieza de dientes de perro con",87960.0,0,8000,4.6,Gatos,Amazon
"pretty litter health monitoring - arena para gatos, arena de cristal no aglomerante, (6 libras (paquete de 2), sin perfume)",195920.0,0,5000,4.3,Gatos,Amazon
"fuente de agua para gatos de acero inoxidable: fuentes para mascotas para gatos/perros tazones de agua automáticos para interiores para beber dispensador de agua para animales pequeños, grifo de riego",79960.0,0,4000,4.5,Gatos,Amazon
"60 almohadillas extra grandes para orina de perro de 28 x 34 pulgadas, superabsorbentes, almohadillas desechables para entrenamiento de perros, almohadillas de secado rápido a prueba de fugas para",99960.0,0,3000,4.7,Perros,Amazon
"collar antiladridos inteligente para perros, collar antiladridos automático para perros pequeños de 5 a 15 libras, medianos y grandes, antiladridos con pitido, vibración y 7 sensibilidad ajustable",135960.0,0,6000,4.7,Perros,Amazon
"paquete de 2 silbatos para perros, silbato para perro para dejar de ladrar a los vecinos, silbato ultrasónico ajustable silencioso para perro, silbatos de entrenamiento profesional para perros",39960.0,0,0,4.8,Perros,Amazon
"100 almohadillas grandes para perros y cachorros, almohadillas absorbentes de entrenamiento para orinal de 28 x 30 pulgadas, almohadillas desechables de secado rápido a prueba de fugas para cachorros",119960.0,0,0,4.5,Perros,Amazon
"collar de choque para perros, collar de entrenamiento para perros de 3300 pies con control remoto, ipx7, impermeable, recargable, elegante, moderno, collar de choque para perros pequeños, medianos y",139960.0,0,2000,4.7,Perros,Amazon
"collar de choque para perros con control remoto – collar de entrenamiento recargable para perros, ipx7 impermeable e collar para perros con 4 modos seguros de linterna, pitido de vibración, choque",95960.0,0,3000,4.5,Perros,Amazon
"spray disuasorio mejorado para gatos, repelente natural seguro para gatos en interiores y exteriores, eficaz ayuda de entrenamiento disuasorio de arañazos para gatos, muebles, sofás",79960.0,0,1000,4.8,Gatos,Amazon
"dispositivo disuasorio de ladridos de perro, dispositivos ultrasónicos antiladridos con 3 emisores sónicos, alcance de hasta 50 pies de largo y control de ladridos recargable, seguro para el",119960.0,0,2000,4.2,Correas para Mascotas,Amazon
"jugbow collar de entrenamiento para perros, collar de perro remoto de 4200 pies con 3 modos de entrenamiento, collar eléctrico con luz led e impermeable ipx8, collar electrónico recargable para perros",199960.0,0,2000,4.5,Perros,Amazon
"difusor calmante de feromonas para gatos: difusor de feromonas prémium para gatos, difusor de feromonas para gatos, difusor calmante para gatos, difusor de feromonas calmante para gatos",99880.0,0,0,4.5,Gatos,Amazon
"juguete interactivo del dispensador de la golosina del perro, alimentador lento",71960.0,0,3000,4.5,Perros,Amazon
"tazón de agua para perros de 6.5 l, sin derrames, 1.6 galones, tazón de agua de acero inoxidable para perros, gran capacidad, sin salpicaduras, comedero lento con alfombrilla antideslizante para",147960.0,0,2000,4.7,Perros,Amazon
"difusor calmante de feromonas para perros 4 en 1, kit de difusor de feromonas para mascotas (enchufe + paquete de 3 repuestos de 1.6 fl oz) para aliviar la ansiedad, reducir los ladridos, la agresión",91960.0,0,2000,4.5,Perros,Amazon
"collar antiladridos para perros grandes, medianos y pequeños, collar inteligente para ladridos, eficaz sin ladridos con modos ajustables de corrección de vibración de pitido, dispositivo antiladridos",143960.0,0,1000,4.8,Perros,Amazon
"timingila papelera giratoria y rastrillo de 36 pulgadas con 100 bolsas para excrementos de perro, mango largo ajustable para limpieza sin doblez, recogedor portátil no rompible para perros grandes,",76720.0,0,3000,4.3,Perros,Amazon
"smart ai - collar antiladridos para perros grandes, medianos y pequeños, dispositivo antiladridos con 5 modos de entrenamiento, exclusivo collar de ladrido forzado, collar de ladrido recargable",159960.0,0,2000,4.9,Perros,Amazon
woof party pupsicle - juguetes interactivos de larga duración para perros para el aburrimiento - diseño de bajo desorden - regalos de cumpleaños para perros - juguetes grandes para perros - fiesta,79960.0,0,2000,4.6,Perros,Amazon
"collar de entrenamiento para perros, collar de choque para perros con control remoto para perros medianos y grandes de 40 a 120 libras, collar de choque impermeable ip68 para perros con vibración de",99960.0,0,0,4.9,Perros,Amazon
"potaroma fuente de agua inteligente inalámbrica para mascotas, sin filtro, gran capacidad de 3.5 litros, dispensador de agua automático recargable para gatos y perros pequeños, separación de aguas",199960.0,0,1000,4.3,Gatos,Amazon
"saffory - cortadora de patas de perro, recortadora de garras para mascotas con luz led, cortadora de mascotas recargable por usb de bajo ruido. adecuado para perros y gatos, para recortar el pelo",79960.0,0,2000,4.3,Gatos,Amazon
"petdroid juguetes interactivos para perros, [2025 recientemente actualizados] juguetes de bola rodante automática activados por movimiento duradero para perros pequeños/medianos/medianos, recargable",100000.0,0,2000,3.8,Perros,Amazon
"toallitas para ojos de perro, removedor de manchas de lágrimas de ángel para todos los perros y gatos, toallitas hipoalergénicas y desodorizantes para perros, toallitas limpiadoras de ojos de mascotas",55960.0,0,1000,4.8,Gatos,Amazon
"juguetes interactivos para perros, pelota móvil para perros con activación táctil, bola rodante activa para cachorros y perros medianos, chirriante, recargable por usb",75920.0,0,2000,4.1,Perros,Amazon
woof mezcla de marionetas para perros – recambios de marionetas fáciles de hacer – mezcla de marionetas sabrosa y saludable – ingredientes saludables – larga duración – mezcla calmante,79960.0,0,2000,4.6,Perros,Amazon
"aspiradora de aseo para perros, kit de aseo para mascotas, cortadora de uñas para perros, taza de polvo de 2.5 l, 7 herramientas de aseo de 11000 pa, aspiradora de perro para pelar el aseo, aspiradora",279960.0,0,2000,4.5,Perros,Amazon
"tazón para perros de alimentación lenta, tercera generación mejorada, cuenco de comida súper firme (cortable) para razas grandes y medianas y pequeñas, compatible con cuenco de vidrio de metal elevado",23960.0,0,2000,4.4,Perros,Amazon
"difusor calmante de feromonas para gatos: difusor de feromonas prémium para gatos, difusor de feromonas para gatos, difusor calmante para gatos, difusor de feromonas calmante para gatos",99880.0,0,2000,4.3,Gatos,Amazon
"prevención de pulgas y garrapatas para perros, collar antipulgas, 2 unidades, ajustable",151960.0,0,900,4.9,Perros,Amazon
"4 collares de gato separables con estrellas de luna de campana, collar de gatito ajustable con brillo colgante, lindo collar de gatito para niñas y niños, gatos, regalos para mascotas,",23880.0,0,1000,4.5,Gatos,Amazon
"jugbow collar de choque para perro, collar de entrenamiento para perros de 4200 pies con control remoto, innovador ipx7, impermeable, con 4 modos de entrenamiento, collar electrónico recargable para",219960.0,0,1000,4.2,Perros,Amazon
"peine para gatos, peine para perros, herramienta de eliminación de pelo de mascotas, peine de pulgas para gatos y piojos de perro, cepillo para gatos con botón de liberación autolimpiante con dientes",35960.0,0,1000,4.2,Gatos,Amazon
"iris usa - paquete de 2 cajas de arena grandes para gatos con escudo de dispersión y cuchara, bandeja de arena para gatos con parte superior abierta de alta cara, color negro",119960.0,0,1000,4.4,Gatos,Amazon
"veken filtros de fuente de agua para gatos, paquete de 12 filtros de repuesto y 12 esponjas de repuesto para dispensador automático de agua para perros de 67 onzas, 95 onzas, 135 onzas",87960.0,0,1000,4.7,Gatos,Amazon
"collar de choque para perros ultra pequeño, ultraligero y delgado, con control remoto de 1300 pies, diseñado para perros pequeños de 5 a 15 libras y perros medianos, control preciso de 198 niveles,",139960.0,0,2000,4.3,Perros,Amazon
dispositivo disuasorio de ladridos de perro 2025 – dispositivos de control de ladridos para perros que detienen el mal comportamiento – silbato ultrasónico recargable para mascotas para dejar de,119960.0,0,0,4.9,Perros,Amazon
"collar antiladridos para perro, paquete de 2, collar antiladridos para perros grandes, medianos y pequeños, collar inteligente recargable, collar de entrenamiento antiladridos con sensibilidad",159960.0,0,1000,4.8,Perros,Amazon
"petlibro comedero automático para gatos con cuenco de acero inoxidable, refrigerado para gatos con refrigeración semiconductora, 3 comidas frescas durante 3 días, dispensador de alimentos para",599960.0,0,1000,4.4,Gatos,Amazon
"corralito para perros de 42 x 42 pulgadas, corralito para cachorros con puerta para cachorros, gatos, perros pequeños y medianos, corralito para mascotas con techo para exteriores e interiores",159960.0,0,1000,3.9,Gatos,Amazon
"cono suave para perros después de la cirugía, collar de recuperación transpirable para perros grandes y medianos, collar ajustable con cono de perro, collar isabelino (l, negro)",75200.0,0,1000,4.5,Perros,Amazon
"collar calmante para perros, paquete de 4 unidades, collar de feromona, alivia la ansiedad y la separación del estrés, dura 60 días, 25 pulgadas flexible ajustable, gris, para perros",71960.0,0,1000,4.6,Perros,Amazon
"collar natural para pulgas y garrapatas para perros, paquete de 4, 8 meses de protección de larga duración, impermeable, tamaño ajustable para perros pequeños, medianos y grandes",143960.0,0,1000,4.6,Perros,Amazon
"pelota interactiva de juguetes para gatos de interior, [2025 recientemente actualizada] bola de gato ágil en movimiento con cola de malla elástica, juguetes automáticos para gatos adultos",83960.0,0,1000,4.5,Gatos,Amazon
"ingenuity doorway - puerta para perros y bebés serie 42w, para interiores y exteriores, no se oxida ni se decolora, se adapta a aberturas de 23-42 pulgadas, 24 pulgadas de alto",79960.0,0,1000,3.8,Perros,Amazon
fuente de agua para gatos en interior: fuentes para gatos de 80 oz/2.4 l para beber - cuencos silenciosos para regar mascotas para gatos en el interior - suministros de agua para gatitos negros - para,67960.0,0,1000,4.4,Gatos,Amazon
"tapete grande de 34 x 22 pulgadas para caja de arena para gatos, almohadilla de silicona impermeable para el suelo, gris oscuro",91960.0,0,1000,4.5,Gatos,Amazon
"difusor de feromonas calmantes para perros 6 en 1, kit de difusor de feromonas apaciguador para calmar (2 enchufes+4 paquetes de 1.6 fl oz de repuesto) para aliviar la ansiedad, reducir la agresión",155960.0,0,1000,4.5,Perros,Amazon
"collar de choque de perro 2 en 1 y collar de ladrido de perro, collar de entrenamiento de perro de 4200 pies con control remoto, 3 modos de entrenamiento y luz para paseos nocturnos, ip67 impermeable",189960.0,0,0,4.8,Correas para Mascotas,Amazon
"extensor de asiento trasero para perros, funda de asiento de coche de fondo duro para perros con ventana de malla, funda impermeable para asiento trasero para mascotas, parte inferior dura,",143960.0,0,1000,4.6,Perros,Amazon
world's best cat litter® boosterstm good habitstm | aditivo natural y sostenible para arena para gatos | atrae a tu gato a la caja de arena y ayuda a evitar accidentes | atractivo a base de plantas |,62200.0,0,1000,3.8,Gatos,Amazon
"meowant caja de arena para gatos autolimpiante, caja de arena automática para gatos con protección de seguridad, control de aplicación, sin olor, gran espacio de 75 litros para múltiples gatos",1079960.0,0,1000,4.3,Gatos,Amazon
litter genie cubo de platino hecho de acero inoxidable duradero que incluye 1 rollo de recarga fácil,207320.0,0,1000,4.6,Correas para Mascotas,Amazon
"green dog poo bags - 120 bolsas grandes biodegradables para excrementos, extra gruesas, fuertes, mezcladas, compostables, a prueba de fugas, bolsa de residuos para perros",23960.0,0,800,4.4,Perros,Amazon
"caja de arena de acero inoxidable con tapa, bandeja de arena extragrande para gatos abatible de 135°, caja de arena de metal cerrada con pala de arena y pedal de filtro, antifugas, sin olor",279920.0,0,1000,4.5,Gatos,Amazon
"aerosol de entrenamiento para perros para entrenamiento de orinal para cachorros, aborda los hábitos de eliminación inapropiados caninos | métodos probados para entornos interiores y exteriores, 3.51",63960.0,0,0,4.8,Perros,Amazon
almohadillas para orina de perro extra grandes 30 x 36 pulgadas (50 unidades),119400.0,0,1000,4.5,Perros,Amazon
"poste rascador para gatos de 35 pulgadas de alto con cuerda de sisal, postes rascadores para gatos de interior y adultos con juguete para gatos y pelota interactiva para gatitos, adultos, gatos",139960.0,0,1000,4.9,Gatos,Amazon
"benebone wishbone - juguete duradero para masticadores agresivos, tocino real, fabricado en estados unidos, pequeño",32680.0,0,1000,4.5,Otros,Amazon
"dispositivos antiladridos, 3 modos de caja ultrasónica de ladridos, dispositivos disuasorios de ladridos de perro, tapón de ladridos de perro, dispositivo antiladridos para perros de largo alcance 50",135960.0,0,0,,Perros,Amazon
"bolsas de repuesto prémium para arena para gatos, paquete de 2 unidades jumbo de 28 pies, dura hasta 8 meses, 2 cartuchos para un control superior del olor",87960.0,0,1000,4.5,Gatos,Amazon
"fuente de agua de acero inoxidable para gatos, fuente automática de agua para mascotas de 101 oz/3 l, fuente de agua para perros con filtros de repuesto para gatos, perros pequeños (2 filtros",86920.0,0,1000,4.7,Gatos,Amazon
"spray sin masticar para perros, spray de manzana amarga para que los perros dejen de masticar, puede proteger eficazmente la seguridad de muebles, plantas, zapatos, etc., objetos de valor, seguro para",51960.0,0,0,4.8,Perros,Amazon
"voluas fuente de agua de acero inoxidable para gatos, fuente de agua inalámbrica para mascotas, funciona con pilas, 108 oz/3.2 l, dispensador de agua automático para perros con bomba silenciosa, fácil",227960.0,0,1000,4.6,Gatos,Amazon
"purina tidy cats bajo polvo, aglutinante control de olores de arena para gatos, ligera, libre y limpia, sin perfume, arena para múltiples gatos, caja de 12 libras",79920.0,0,1000,4.6,Gatos,Amazon
"spray disuasorio 100% natural para gatos, evita el marcado y los arañazos de orina, ecológico, seguro para niños, mascotas y muebles, uso en interiores y exteriores, ayuda para entrenamiento de",91960.0,0,0,5.0,Gatos,Amazon
"correa retráctil para perro 2025 de 16,4 pies – correa retráctil resistente para mascotas con agarre suave antideslizante – correas reflectantes para perros con protección anti torsión para perros",72600.0,0,1000,4.6,Perros,Amazon
"olanly tapete para puerta con patas de perro fangosas, 30 x 20 pulgadas, tapete de felpilla ultra absorbente con diseño de huellas de patas, tapete antideslizante y lavable para entrada en interiores",39960.0,0,1000,4.7,Perros,Amazon
"gorilla grip tapete de silicona 100 % impermeable con borde elevado sin bpa, para alimentación de mascotas, para perros y gatos, contiene derrames, protege el suelo, manteles individuales para gatos y",35960.0,0,1000,4.6,Gatos,Amazon
"paquete de 2 recogedores de excrementos de 33 pulgadas, mango alto xl sin contacto para perros grandes y pequeños, resorte duradero y ligero, recogedor grande para excrementos de perros, resistente",103960.0,0,1000,4.6,Perros,Amazon
"tiniest - collar de choque para perro, collar de entrenamiento de perro más ligero con control remoto para perros pequeños de 5 a 15 libras y perros medianos/cachorros, impermeable, recargable, rango",127960.0,0,1000,4.4,Perros,Amazon
"jugbow collar de choque para perro, collar de entrenamiento para perros de 4200 pies con control remoto para perros grandes, medianos y pequeños, recargable e impermeable ipx8 con pitido (1-3)",143960.0,0,1000,4.2,Perros,Amazon
